,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
years,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Adamaoua,7738.0,3673.0,3127.0,3789.0,5372.0,3768.0,8741.0,2873.0,4841.0,3895.0,1856.0,6383.0,4860.0,3730.0,4380.0,3806.0,11350.0,5051.0,9528.0,6629.0,11753.0,10269.0,8385.740259740269,8611.33032185206,8836.92038396385
Centre,12315.0,4230.0,9077.0,6431.0,5223.0,11291.0,9003.0,10993.0,5872.0,11049.0,4965.0,9663.0,23737.0,75582.0,22494.0,35817.0,63639.0,39029.0,39097.0,74644.0,51496.0,46390.0,58123.168831168674,60916.341614906676,63709.51439864468
Est,3071.0,7343.0,5038.0,4894.0,6019.0,5340.0,10808.0,3220.0,13142.0,6664.0,2605.0,12688.0,19814.0,20569.0,20292.0,33597.0,45600.0,18667.0,30483.0,53425.0,44025.0,32812.0,41216.24675324652,43218.78204404283,45221.31733483868
Extrême-Nord,1.0,2.0,2.0,9.0,2.0,5.0,3.0,0.0,14.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7402597402597166,-0.9706380575945559,-1.2010163749293952
Littoral,3894.0,2580.0,1497.0,2904.0,2779.0,4229.0,4954.0,4484.0,3556.0,15818.0,6923.0,10596.0,12624.0,15041.0,7609.0,10353.0,21550.0,12980.0,13158.0,12906.0,21312.0,17421.0,18811.9480519481,19621.018633540487,20430.08921513264
Nord,2057.0,1705.0,313.0,680.0,713.0,2404.0,6408.0,6410.0,1718.0,2491.0,781.0,1587.0,2103.0,3558.0,1170.0,1016.0,2598.0,3019.0,1977.0,1851.0,2237.0,3286.0,2518.4285714285725,2539.469791078489,2560.5110107284054
Nord-Ouest,833.0,999.0,494.0,1176.0,623.0,1229.0,1294.0,659.0,581.0,1311.0,361.0,665.0,908.0,1163.0,898.0,1223.0,4547.0,3038.0,2108.0,2183.0,2504.0,2329.0,2542.324675324693,2640.3687182382855,2738.412761151907
Ouest,679.0,1139.0,1650.0,1502.0,1078.0,1039.0,1884.0,978.0,1219.0,2938.0,675.0,1349.0,1719.0,2444.0,1292.0,1858.0,3549.0,2111.0,2367.0,2406.0,3697.0,3612.0,3054.948051948042,3157.8091473743552,3260.6702428006683
Sud,8046.0,2991.0,3260.0,1944.0,2794.0,4335.0,5451.0,6233.0,4957.0,3761.0,7487.0,7862.0,15628.0,47746.0,19137.0,26368.0,27824.0,32989.0,20959.0,45676.0,31325.0,31245.0,37125.740259740036,38938.974590626545,40752.208921513055
Sud-Ouest,1471.0,5144.0,1290.0,309.0,1142.0,4050.0,400.0,2290.0,1191.0,12660.0,2811.0,2003.0,6206.0,16836.0,3648.0,4424.0,10675.0,7271.0,5537.0,6881.0,3557.0,4533.0,7754.8571428571595,8016.824957651086,8278.792772445013
