,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
years,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Bas-Uélé,22556.0,27594.0,17699.0,34421.0,26129.0,24636.0,37862.0,21299.0,36390.0,25636.0,22036.0,44481.0,43723.0,59043.0,50061.0,79506.0,71103.0,50611.0,72274.0,79573.0,58817.0,69022.0,75360.28571428545,78061.68605307676,80763.086391869
Haut-Katanga,14787.0,11646.0,29255.0,5895.0,18158.0,9817.0,22481.0,14771.0,26947.0,42528.0,16731.0,66617.0,21830.0,28383.0,24901.0,36446.0,45307.0,55967.0,40829.0,53293.0,55889.0,46520.0,54130.6883116886,56114.392433653586,58098.09655561857
Haut-Lomami,17810.0,24232.0,18369.0,10809.0,19817.0,18988.0,10609.0,13560.0,17808.0,25800.0,13714.0,15729.0,12729.0,15744.0,10736.0,14420.0,17952.0,17755.0,12914.0,20818.0,17960.0,14044.0,15194.701298701286,15083.896668548841,14973.092038396368
Haut-Uélé,17526.0,19291.0,8111.0,23421.0,19830.0,11867.0,32346.0,10671.0,27505.0,16160.0,40193.0,15830.0,20793.0,50172.0,38841.0,49010.0,76547.0,52157.0,58950.0,64422.0,63228.0,77275.0,69613.92207792215,72528.38961039018,75442.85714285728
Ituri,13306.0,8767.0,4011.0,13067.0,9628.0,8834.0,14755.0,5789.0,20292.0,11684.0,16235.0,8861.0,22380.0,31886.0,19490.0,37357.0,39612.0,51070.0,51910.0,40267.0,36565.0,45585.0,47037.58441558434,49106.65894974582,51175.7334839073
Kasaï,23543.0,46833.0,6061.0,29803.0,39541.0,53195.0,10004.0,32471.0,68358.0,53990.0,10892.0,55419.0,48462.0,65060.0,43213.0,74385.0,85989.0,53431.0,62646.0,78176.0,78076.0,85650.0,81559.93506493513,84283.73178994935,87007.52851496357
Kasaï-Central,20286.0,46096.0,4074.0,22584.0,26404.0,29815.0,5618.0,35701.0,11323.0,58908.0,3162.0,27470.0,37601.0,49252.0,40316.0,48205.0,85421.0,50720.0,42598.0,62725.0,74465.0,64537.0,66168.3116883114,68573.14116318431,70977.97063805722
Kasaï-Oriental,2481.0,1549.0,1013.0,2097.0,3938.0,8037.0,1667.0,3177.0,4068.0,4443.0,751.0,4458.0,2221.0,4146.0,2968.0,2918.0,3208.0,4512.0,2256.0,4592.0,3175.0,1988.0,3460.9090909090955,3486.5098814229277,3512.11067193676
Kinshasa,5274.0,1564.0,1536.0,2780.0,1227.0,1352.0,5108.0,702.0,1669.0,4014.0,1019.0,3377.0,4373.0,8498.0,5804.0,6908.0,9075.0,5069.0,3758.0,4208.0,5500.0,2710.0,5870.7922077921685,6043.252399774152,6215.712591756077
Kongo-Central,9891.0,10969.0,6688.0,14642.0,6551.0,7850.0,10987.0,6975.0,13979.0,16035.0,26330.0,12827.0,28469.0,88909.0,45460.0,46923.0,53288.0,38782.0,32691.0,30226.0,50235.0,26092.0,50395.051948052365,52465.77188029373,54536.49181253556
Kwango,15313.0,11391.0,10845.0,6857.0,11088.0,5581.0,12617.0,14915.0,4603.0,33362.0,4864.0,13478.0,19708.0,47140.0,24753.0,32729.0,42492.0,50739.0,26044.0,43739.0,39978.0,32467.0,43084.45454545459,44836.05533596827,46587.65612648195
Kwilu,14647.0,15540.0,10666.0,11206.0,11211.0,13929.0,14473.0,13950.0,10949.0,40963.0,6279.0,24209.0,34111.0,60345.0,28314.0,67597.0,70009.0,57280.0,46987.0,53468.0,57027.0,67153.0,66923.4675324671,69856.28684359137,72789.10615471471
Lomami,6835.0,3956.0,5979.0,5958.0,9724.0,18630.0,8336.0,2905.0,12206.0,15326.0,5129.0,3779.0,6466.0,8297.0,5824.0,7672.0,9111.0,8829.0,6833.0,9641.0,7796.0,4710.0,7610.038961038954,7584.263692828907,7558.488424618852
Lualaba,10845.0,22075.0,18028.0,16218.0,16821.0,13031.0,8334.0,12983.0,36139.0,31428.0,23304.0,21383.0,18683.0,23267.0,23893.0,25891.0,38719.0,29835.0,26760.0,39873.0,35486.0,36983.0,36523.8441558443,37605.0519480519,38686.2597402595
Maniema,32172.0,52486.0,21781.0,32141.0,41954.0,17977.0,32434.0,39029.0,55833.0,42443.0,13832.0,28975.0,95006.0,91043.0,61177.0,115616.0,63339.0,95513.0,83743.0,64110.0,83933.0,74404.0,91547.92207792215,94611.61095426325,97675.29983060434
