,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
years,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Ashanti,6345.0,15707.0,8986.0,2090.0,8494.0,4135.0,8382.0,7581.0,7626.0,7871.0,13193.0,5439.0,22642.0,36583.0,12546.0,36982.0,27280.0,27568.0,20678.0,39239.0,30929.0,32197.0,34277.51948051946,35746.34330886509,37215.16713721072
Brong Ahafo,7731.0,3947.0,1709.0,858.0,4091.0,5739.0,3336.0,7576.0,2293.0,2043.0,5536.0,5223.0,9662.0,14519.0,9666.0,20312.0,26253.0,27989.0,12810.0,20909.0,13578.0,19791.0,21482.74025974027,22459.21964991535,23435.699040090432
Central,9852.0,14255.0,3873.0,2917.0,7897.0,2930.0,7980.0,5610.0,5290.0,2154.0,5617.0,3563.0,10450.0,13339.0,6798.0,14436.0,9709.0,25200.0,13369.0,18021.0,12048.0,14816.0,15321.311688311747,15823.070016939659,16324.828345567454
Eastern,5265.0,5805.0,3206.0,919.0,4122.0,1835.0,6888.0,8045.0,2729.0,1639.0,4674.0,4434.0,15064.0,15727.0,6173.0,19828.0,26493.0,23126.0,13145.0,16491.0,17873.0,18911.0,20834.467532467563,21767.140598532045,22699.813664596295
Greater Accra,90.0,118.0,89.0,24.0,149.0,107.0,158.0,213.0,190.0,30.0,158.0,85.0,203.0,152.0,86.0,334.0,265.0,171.0,117.0,184.0,185.0,210.0,214.31168831168907,219.8328627893843,225.35403726708137
Northern,664.0,372.0,80.0,159.0,146.0,403.0,409.0,365.0,708.0,219.0,326.0,48.0,52.0,33.0,12.0,8.0,44.0,48.0,36.0,29.0,47.0,26.0,-52.623376623378135,-73.93450028233201,-95.24562394127861
Upper East,2.0,1.0,0.0,0.0,0.0,3.0,73.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1948051948052125,-1.638622247317926,-2.0824392998306394
Upper West,32.0,11.0,1.0,16.0,27.0,30.0,25.0,36.0,33.0,5.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6623376623379045,-7.063805759458319,-8.465273856578278
Volta,940.0,596.0,730.0,1188.0,768.0,306.0,1507.0,748.0,1705.0,564.0,1248.0,1192.0,2892.0,1794.0,1121.0,4694.0,8134.0,5496.0,5264.0,6229.0,5748.0,4891.0,6013.025974026066,6307.617165443255,6602.208356860559
Western,15381.0,39320.0,8078.0,10009.0,17980.0,12943.0,14263.0,10598.0,19941.0,7530.0,7737.0,18733.0,26232.0,45523.0,25827.0,32776.0,31361.0,54683.0,31334.0,47003.0,29022.0,37016.0,40203.064935064875,41551.59232072253,42900.11970638065
