,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
years,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Abia,3201.0,849.0,752.0,345.0,319.0,141.0,217.0,118.0,522.0,762.0,692.0,852.0,2751.0,3750.0,2118.0,1502.0,5851.0,4340.0,2042.0,2197.0,2558.0,2379.0,3220.4545454545296,3349.276679841889,3478.098814229248
Adamawa,333.0,65.0,83.0,51.0,47.0,238.0,97.0,166.0,94.0,44.0,470.0,82.0,196.0,112.0,9.0,49.0,177.0,301.0,175.0,104.0,182.0,415.0,206.81818181818198,211.00790513834,215.197628458498
Akwa Ibom,3103.0,219.0,590.0,160.0,188.0,264.0,392.0,407.0,660.0,597.0,679.0,229.0,886.0,2124.0,1570.0,535.0,3548.0,2107.0,2429.0,1930.0,1774.0,2516.0,2211.8051948051725,2297.7843026538612,2383.763410502521
Anambra,106.0,56.0,33.0,38.0,22.0,54.0,61.0,50.0,128.0,112.0,122.0,68.0,157.0,173.0,102.0,58.0,682.0,175.0,158.0,205.0,345.0,241.0,289.68831168831457,302.4438170525136,315.1993224167163
Bauchi,1.0,2.0,0.0,1.0,2.0,0.0,17.0,6.0,10.0,2.0,1.0,1.0,3.0,2.0,1.0,3.0,7.0,2.0,4.0,3.0,4.0,7.0,4.493506493506487,4.57199322416713,4.650479954827773
Bayelsa,329.0,502.0,37.0,475.0,456.0,590.0,406.0,899.0,761.0,491.0,717.0,699.0,1471.0,1878.0,647.0,1295.0,1976.0,2987.0,887.0,1689.0,1033.0,2989.0,2114.311688311689,2206.4099378882092,2298.5081874647294
Benue,134.0,53.0,119.0,47.0,56.0,70.0,52.0,71.0,93.0,95.0,30.0,95.0,53.0,177.0,190.0,143.0,829.0,1065.0,304.0,487.0,960.0,749.0,680.7792207792227,716.767927724446,752.756634669684
Borno,6.0,10.0,2.0,3.0,6.0,3.0,8.0,0.0,7.0,2.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9220779220779605,-1.274985883681552,-1.6278938452852572
Cross River,3579.0,4487.0,1975.0,459.0,866.0,2071.0,908.0,1889.0,1560.0,3586.0,2130.0,1934.0,5864.0,15546.0,6233.0,4807.0,19719.0,15719.0,13430.0,14729.0,14662.0,12448.0,15327.584415584337,16073.062111801002,16818.5398080179
